bitstring,count
110100011001000000001010,1
000000001101000000000010,1
000010100100000010001111,1
010100001001000000001111,2
111111011111110110000000,1
000000001111000100011000,1
101000011110100011000101,1
100010010110000100001111,1
000000101111001000001011,2
000000001111010010000111,4
001110100101010010110001,1
000100111101000000001111,1
001000001100000010111101,1
000000001001101010111111,1
010100001010000110110000,1
010000101111000000001111,1
010000001111000000011111,1
000010100000100110000001,1
000000001111011010001100,1
000000001111000000000101,2
000110000111010100001111,1
000000001111001100001000,1
000100011111100010111011,1
100100111010000000000111,1
000000001111111011010000,1
010010000111010000001001,1
101010110000001001001111,1
000000000111010010110100,1
010011011011011110110001,1
000000001111000000100110,1
100100111011001001001011,1
110111010100111111101001,1
000101111101000000001111,1
000110001110000000001111,1
000010111101000010000111,1
000000001111000110000111,1
010110111001000000110100,1
111001101000000000001111,1
000000001111100000001100,1
010000100101010000001111,1
010001011101001000001111,1
010010010001011110110001,1
001010100111000000000111,1
011010001000001111000001,1
000000001111000101001111,3
011110000000110101101011,1
000101001110000000001111,1
000010100101100100001111,1
101110100000000001110100,1
011110000001001010010111,1
010000001101000000001111,2
011010100111000000001111,1
101001111011000000001111,1
000000000010000000001111,2
001100100011000010101111,1
000001001101000001001111,1
000000010100000000000101,1
100000101110000001001111,1
000000111110000000001111,1
100001111001010000010101,1
000000101001000000111100,2
101010110100011000101001,1
000010100110000000001111,1
000000100111000000001111,1
100011010011000111000111,1
001011001101000010101110,1
000000001111001000001011,7
000000111110000010001111,1
000000001101001000001011,3
000110001000000010010000,1
111001011000000000001111,1
000100001101000011000001,1
011000000000000000101001,1
000101000001001000001111,1
000010000111000000001101,1
010010001101000000001111,1
100100100001010000101101,1
001000001111010110100111,1
000000011010000000001111,1
010011000001000000001111,1
010101101001001000001111,1
011010011101000000001111,1
110001001101010000001101,1
000000001111101000001111,2
000010001111111011001100,1
001010000100101111001111,1
000011010000000000001101,1
000110000111000000100111,1
000000000011111001110110,1
101111001110000100000011,1
001110100111011111011100,1
101010100100000000001101,1
000110010010000000001111,1
000000001111100110100000,1
000000000001000000001111,1
010010110110000000001111,1
000000011011000000001110,1
000010011111010010111101,1
011010000000000100001110,1
000110100111001000100001,1
101010100001001110110110,1
111011000000100000001011,1
000100100001000000001111,1
000000001111111010111111,1
101000010100100011011001,1
000000001111000000111101,2
001000001110000000011111,1
000100000111000000100101,1
101011100011000000111100,1
000000001101000010000111,1
000000101101000001101000,1
000000001111000000100100,3
000000001111001110000011,1
000010001000010000000011,1
000000001111001010110000,1
000000001111100100010111,1
001010100000001010000100,1
010111100101001111010000,1
000100101100111100100110,1
000010001101000000001111,2
000000001111000011001100,1
000100001111011001000001,1
110000001111000100001111,1
010010110100001000101101,1
000000001111001010001111,1
000000001111101000000111,1
101011000001111010010010,1
000000001001000000101111,1
000010011010000000001111,1
000000001111000111011010,1
000100011011010000111101,1
010000001100000000001111,3
001010000111010010110000,1
000000110111000100001111,1
000000001111100000001111,3
000000001111010011010111,1
000011101111001010001011,1
101101101111010100000100,1
000000001111100000001110,4
000000001111000000011100,1
100101101011001000001111,1
001000000110001011100001,1
011101010011100010000110,1
010010100111000000001100,1
100000101111000000000101,1
010000001101000000001011,1
000000001111101110011001,1
000000001111110000000000,1
000000011100000000101101,1
000000000110000000001110,1
000100100011000000001111,1
100110010110000000001110,1
000000001111001000000111,2
000000001111100010101100,1
011010000111010000001101,1
000110110100000100001100,1
001001010001100110001010,1
000000001111001010010011,1
111011100111000000001111,1
100010100100000000001101,1
000101011111000000011111,1
101111111111101010011010,1
011010100100010110010100,1
001010001111000000001111,2
011001001011000010100001,1
000001100111000010000111,1
010100000011000000001111,1
001110000001000000001111,1
000000001111010111111001,2
101100111011001000111101,1
100110011111000000001101,1
000010000001110101011010,1
001100000101101100111011,1
001010100111000000001111,1
001000001010000000001101,1
000001001111000010001111,1
010000111011000100011010,1
000000001111000001000111,3
000110010111011010100001,1
000000001111000110100111,1
000000111000000000001111,2
011010000001000000001111,1
000010100111000010001111,1
000000000111000001011100,1
001000001110011000100011,1
010000011001010010001001,1
000010111011000000001001,1
100101011110010110111011,1
110100011110000000001111,1
